numero,id,marca,modelo,año_modelo,millaje,tipo_combustible,motor,transmisión,color_exterior,color_interior,accidente,sin_daños,precio
7622,1685,Chevrolet,Corvette Stingray w/2LT,2019,12300,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,
7623,70405,Chevrolet,Corvette Stingray w/3LT,2020,5400,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,
7624,181193,Chevrolet,SSR Base,2004,24915,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Shadow Gray Metallic,Jet Black,None reported,Yes,
7625,49543,Mercedes-Benz,AMG G 63 Base,2020,10483,Gasoline,4.0 Liter Twin Turbo,Automatic,Obsidian Black Metallic,–,None reported,,
7626,81621,Mercedes-Benz,E-Class E 350,2021,28800,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,
7627,166434,Genesis,GV70 3.5T Sport,2022,11000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,Yes,
7628,140711,Ford,Edge SEL,2020,54423,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Silver,Ebony,At least 1 accident or damage reported,Yes,
7629,97764,Jeep,Grand Cherokee L Limited,2022,25968,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Diamond Black,Global Black,None reported,Yes,
7630,47541,Mercedes-Benz,SLC 300 Base,2019,41997,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Brown,None reported,Yes,
7631,50196,Jeep,Gladiator Overland,2022,9500,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,
7632,28799,Mercedes-Benz,S-Class S 63 AMG,2015,37000,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7633,139984,Tesla,Model X Long Range Plus,2022,56846,,670.0HP Electric Motor Electric Fuel System,1-Speed A/T,Blue,Black,None reported,Yes,
7634,90399,Dodge,Dakota Big Horn/Lone Star,2010,172024,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Brown,At least 1 accident or damage reported,Yes,
7635,161958,Nissan,Quest SL,2010,162000,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Black,None reported,Yes,
7636,121525,Land,Rover Discovery SE,2004,170000,Gasoline,217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,At least 1 accident or damage reported,Yes,
7637,92750,Land,Rover Range Rover Supercharged,2007,56842,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Red,None reported,Yes,
7638,147392,Dodge,Charger SRT8,2008,64776,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,
7639,27591,Cadillac,Escalade ESV Luxury,2016,116500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,
7640,80975,RAM,1500 Rebel,2020,35597,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,
7641,58634,Saturn,Sky Red Line,2008,170000,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,
7642,68837,BMW,M5 Base,2020,14381,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Alpine White,Aragon Brown,None reported,,
7643,13075,Toyota,Highlander Limited,2016,100900,Gasoline,3.5 Liter,Automatic,Wind Chill Pearl,Graphite,None reported,,
7644,76512,Mercedes-Benz,C-Class C 300 4MATIC,2015,69000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,
7645,117656,Land,Rover Range Rover P400 SE SWB,2023,3369,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Beige,None reported,Yes,
7646,169913,Ford,Explorer Limited,2020,41199,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,White,Black,None reported,,
7647,83478,Cadillac,Escalade ESV Sport,2023,1500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,
7648,17781,Chevrolet,Camaro ZL1,2009,127500,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,
7649,161341,Cadillac,Escalade Premium Luxury Platinum,2021,27608,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic with Overdrive,Cajun Red Tintcoat,Jet Black,None reported,Yes,
7650,121103,Lexus,GX 460 Premium,2017,52284,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,
7651,168609,Cadillac,ATS 2.5L,2014,160900,Gasoline,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,
7652,161296,Land,Rover Range Rover Velar P250 SE R-Dynamic,2019,58000,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7653,118259,Mazda,CX-9 Signature,2012,88750,Gasoline,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,Beige,At least 1 accident or damage reported,Yes,
7654,5069,Cadillac,Escalade ESV Premium Luxury Platinum,2021,20400,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,
7655,51823,Ford,Fusion Energi Titanium,2017,88000,Plug-In Hybrid,188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,
7656,181640,Toyota,Tacoma PreRunner,2007,166200,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,
7657,162224,INFINITI,QX30 Premium,2018,69000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,
7658,77417,BMW,328 i xDrive,2013,60000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Brown,None reported,Yes,
7659,182604,Jeep,Wrangler X,2005,160900,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,White,Gray,At least 1 accident or damage reported,Yes,
7660,25509,Ford,Fusion SE,2010,117000,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,
7661,168397,Ford,F-150 XLT,2016,84500,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,
7662,93857,BMW,650 Gran Coupe i xDrive,2018,12002,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,
7663,50896,Hyundai,Veloster Base,2012,135465,Gasoline,132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Red,None reported,Yes,
7664,2384,Porsche,911 Carrera S,2023,1500,Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,,
7665,71205,Porsche,Panamera Platinum Edition,2022,13800,Gasoline,325.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,At least 1 accident or damage reported,Yes,
7666,43230,GMC,Sierra 2500 Base,2021,5800,Gasoline,401.0HP 6.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
7667,139352,GMC,Sierra 2500 Base,2022,8210,Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,
7668,44955,BMW,650 i,2013,83298,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,
7669,3741,Nissan,NV200 SV,2014,101750,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,
7670,53971,Mazda,CX-7 Grand Touring,2021,26520,Gasoline,2.5L I4 16V GDI DOHC,8-Speed Automatic,Snowflake White Pearl,Black,None reported,Yes,
7671,81994,Lexus,LS 430 Base,2005,192000,Gasoline,278.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,
7672,10843,Land,Rover Range Rover Sport Supercharged HSE,2016,57918,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,
7673,138077,Ford,F-150 Raptor,2021,36000,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,
7674,156049,Audi,A6 55 Premium Plus,2018,69000,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Beige,None reported,Yes,
7675,184903,Toyota,Sequoia SR5,2023,23292,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Green,Gray,None reported,Yes,
7676,61289,Chevrolet,Corvette Stingray w/2LT,2023,2950,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,
7677,184170,Ford,Mustang V6,2015,199000,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,
7678,147751,Cadillac,ATS 2.5L Luxury,2010,67800,Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7679,1071,Land,Rover Range Rover Sport Supercharged,2013,64800,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7680,29848,Pontiac,Solstice GXP,2008,186040,Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Gray,None reported,Yes,
7681,12066,Chevrolet,Camaro Base,2007,122000,Gasoline,285.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
7682,167519,Porsche,911 Carrera C2S,2007,28500,Gasoline,345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Beige,None reported,Yes,
7683,113631,Tesla,Model X 75D,2017,61773,,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,White,At least 1 accident or damage reported,Yes,
7684,150973,INFINITI,QX80 Luxe,2021,16000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7685,111573,Kia,Sorento LX,2007,162000,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,
7686,139591,Lexus,GX 460 Premium,2021,18083,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,
7687,164517,Porsche,718 Cayman GT4,2021,500,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,
7688,134829,Audi,S4 3.0T Premium Plus,2013,106000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,
7689,144988,Toyota,Avalon Limited,2016,69750,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
7690,45140,Alfa,Romeo Giulia Ti,2020,28182,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,
7691,68740,BMW,228 Gran Coupe i xDrive,2022,2459,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,
7692,96375,Chevrolet,Tahoe LTZ,2013,208864,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,
7693,18757,GMC,Sierra 1500 Denali,2019,76249,Gasoline,5.3L V8 16V GDI OHV,Automatic,Onyx Black,Walnut,At least 1 accident or damage reported,,
7694,98359,Toyota,Avalon Limited,2005,109357,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,
7695,89259,Ford,F-150 XLT,2021,9142,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Gray,None reported,Yes,
7696,59672,Cadillac,CTS Performance,2010,145000,Gasoline,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,
7697,36689,Chevrolet,Silverado 1500 LT,2021,49814,Gasoline,1.3L I3 12V GDI DOHC Turbo,Automatic,Cajun Red Tintcoat,Jet Black,None reported,Yes,
7698,54189,Acura,RDX w/A-Spec Package,2022,35248,Gasoline,2.0 Liter DOHC Turbo,Automatic,White,Black,None reported,,
7699,26955,Lexus,GX 470 Base,2004,121800,Gasoline,235.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,
7700,7958,Chevrolet,Corvette Base,2006,36294,Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,
7701,7102,Nissan,Juke SV,2012,153332,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Gray,None reported,Yes,
7702,24711,INFINITI,QX80 Base,2015,72000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7703,94900,Dodge,Challenger R/T Scat Pack,2019,33000,–,–,A/T,White,Black,None reported,Yes,
7704,7563,Land,Rover Discovery Sport SE R-Dynamic,2016,99769,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,
7705,123541,Porsche,911 Carrera S,2015,14526,Gasoline,4.0 Liter,Automatic,Green,Beige,None reported,,
7706,135253,Chevrolet,Corvette Stingray w/3LT,2023,10400,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Yellow,Black,None reported,Yes,
7707,36077,Lexus,GX 460 Premium,2013,139355,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,
7708,66128,Genesis,GV70 3.5T Sport,2017,125500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,
7709,143709,Mercedes-Benz,AMG C 43 Base 4MATIC,2017,53500,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,None reported,Yes,
7710,80900,Volkswagen,Golf GTI 2.0T SE 4-Door,2018,69549,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Beige,At least 1 accident or damage reported,Yes,
7711,80314,Mercedes-Benz,C-Class C300 4MATIC,2022,9500,Gasoline,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,–,None reported,Yes,
7712,43482,Mazda,CX-5 Grand Touring,2016,82260,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Sonic Silver Metallic,Black,None reported,,
7713,139117,Buick,Enclave Essence,2020,83280,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Ebony Twilight Metallic,Ebony,None reported,,
7714,161585,Porsche,911 Turbo Cabriolet,2008,13442,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,
7715,102816,Ford,F-150 XLT,2018,83420,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,
7716,5368,Volvo,S60 T5 Premier Plus,2015,49000,Gasoline,250.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,
7717,73318,Nissan,350Z Enthusiast,1997,167000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Beige,None reported,Yes,
7718,94221,Land,Rover Range Rover 3.0L V6 Supercharged HSE,2023,9400,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,White,None reported,Yes,
7719,24024,BMW,435 i,2014,70891,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,
7720,11369,Audi,S6 4.0T Premium Plus,2017,70500,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,
7721,106859,Toyota,Sequoia Limited,2018,67500,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,None reported,Yes,
7722,187371,Ford,Expedition Limited,2021,49650,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,White,At least 1 accident or damage reported,Yes,
7723,78580,Mitsubishi,Eclipse GS,2005,96238,Gasoline,162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,
7724,60094,BMW,M3 Base,2008,48750,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,None reported,Yes,
7725,34985,Chrysler,Pacifica Launch Edition,2020,32117,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Bright White Clearcoat,Black,,,
7726,176220,GMC,Yukon Denali,2020,25352,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,
7727,109846,Lexus,ES 350 Base,2008,136000,Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,
7728,155186,Porsche,Boxster S,1992,112000,Gasoline,–,A/T,Red,Gray,None reported,Yes,
7729,148882,Pontiac,Solstice GXP,2004,170000,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,
7730,59748,Chevrolet,Silverado 2500 High Country,2007,16900,Diesel,360.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Gray,None reported,Yes,
7731,75752,Alfa,Romeo Stelvio Ti,2020,4590,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gold,Red,None reported,Yes,
7732,26947,Land,Rover Range Rover Sport HSE,2017,108206,Gasoline,3.0 Liter,Automatic,Fuji White,Pimento / Ebony,None reported,,
7733,32576,Lamborghini,Urus Base,2021,15000,Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7734,40113,Volkswagen,Tiguan 2.0T SE,2018,30300,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,
7735,136405,Ford,F-150 Lariat,2013,122000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,
7736,120824,BMW,X3 M40i,2019,27158,Gasoline,3.0 Liter Turbo,Automatic,Alpine White,Canberra Beige/Black,None reported,,
7737,142566,Mercedes-Benz,GLC 300 GLC 300,2022,12771,Gasoline,2.0 Liter Turbo,Automatic,Obsidian,–,None reported,,
7738,84017,GMC,Acadia SLT-1,2020,85275,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Red,Ebony,None reported,Yes,
7739,126531,Chevrolet,Camaro 2LT,2011,106000,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,
7740,105589,Ford,Mustang Mach-E Premium,2021,10300,Gasoline,266.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,
7741,14194,INFINITI,QX60 Base,2012,121250,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7742,155745,Porsche,Panamera 4 Platinum Edition,2014,55359,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,
7743,95327,Ford,F-350 XL,2016,84421,E85 Flex Fuel,282.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,White,White,None reported,Yes,
7744,164227,Mazda,CX-9 Signature,2019,27340,Gasoline,2.5L I4 16V GDI DOHC Turbo,8-Speed Automatic,Machine Gray Metallic,Black,None reported,Yes,
7745,103588,Cadillac,Escalade ESV Sport,2023,600,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Brown,None reported,Yes,
7746,163774,Chevrolet,Corvette Z06 w/2LZ,2020,57000,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,
7747,43624,Toyota,Tundra SR,2016,63950,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,
7748,48450,Jeep,Wrangler Sport,2022,12500,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Red,–,None reported,Yes,
7749,148876,Lincoln,MKC Reserve,2019,71669,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7750,135225,Land,Rover Range Rover Sport HSE,2020,20927,Gasoline,3.0 Liter,Automatic,Fuji White,Black,None reported,,
7751,22518,GMC,Yukon Denali,2019,18000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,White,None reported,Yes,
7752,45183,Ford,F-250 XLT,2019,49000,Gasoline,6.6L V8 32V DDI OHV Turbo Diesel,6-Speed Automatic,Silver,Gray,None reported,Yes,
7753,15107,Toyota,RAV4 TRD Off Road,2016,52000,Gasoline,203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,
7754,51095,Land,Rover Range Rover Velar P250 SE R-Dynamic,2019,79422,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,
7755,128496,BMW,750 i xDrive,2023,13700,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7756,182931,Mercedes-Benz,E-Class E 350 4MATIC,2012,120000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,
7757,177367,BMW,M4 Base,2018,25013,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Orange,At least 1 accident or damage reported,Yes,
7758,135771,Cadillac,Escalade ESV Luxury,2018,50000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,
7759,174668,Cadillac,CTS Performance,2012,145000,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,
7760,101448,Chrysler,300M Base,2006,120000,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Gray,None reported,Yes,
7761,71181,Acura,TLX V6 Advance,2019,87501,Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,Platinum White Pearl,Ebony,None reported,,
7762,28010,Land,Rover Discovery SE,2004,98600,Gasoline,217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,
7763,41105,Audi,Q5 S line Premium Plus,2022,11111,Gasoline,2.0 Liter TFSI,Automatic,White,Black,None reported,,
7764,3969,Tesla,Model S 100D,2017,102260,,Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,
7765,20645,Ford,F-350 Platinum,2019,39000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,White,Black,None reported,Yes,
7766,70159,INFINITI,QX70 Base,2015,99499,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,
7767,155324,Cadillac,Escalade Luxury,2009,153550,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Beige,None reported,Yes,
7768,166144,BMW,M3 Competition,2023,6275,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,Yes,
7769,64818,INFINITI,QX70 Base,2014,70000,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
7770,83132,Ford,Expedition Limited,2019,27654,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Satin Steel Metallic,Ebony,None reported,,
7771,168731,Audi,Q5 2.0T Premium Plus,2013,91812,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,
7772,49417,Ford,F-250 King Ranch,2021,28000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Brown,None reported,Yes,
7773,43573,Jeep,Wrangler Sport,2016,86250,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,
7774,82544,Ford,F-350 Platinum,2017,86818,Gasoline,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,White,Beige,At least 1 accident or damage reported,Yes,
7775,11025,Chevrolet,Corvette Base,2002,173456,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Black,None reported,Yes,
7776,176275,Ford,F-150 XLT,2023,2489,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,,
7777,175524,Volkswagen,Golf GTI 2.0T SE 4-Door,2016,69700,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,
7778,103707,Ford,F-150 XLT,2018,88883,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,6-Speed Automatic,White,Black,None reported,Yes,
7779,70224,BMW,M4 Base,2008,67800,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Gray,None reported,Yes,
7780,28529,BMW,X1 xDrive 28i,2020,24500,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,
